SPNCOM-04-P3867-PF,0,278,0,1274
STRS-02-P3867-MPF,0,5,0,1274
SER - 144 - 3623Y4CO,0,432,0,1298
SFM-02-P3867-MPF,0,64,0,1298
SIMP-01-P3867-MPF,0,22,0,1298
SINJ-06-P3867-MPF,0,15,0,1298
SPCOM-03-P3867-MPF,0,51,0,1298
SPNCOM-04-P3867-PF,0,113,0,1298
SIMP - 01 - P3867-PF,0,44,0,1303
SIMP-01-P3867-MPF,0,26,0,1303
SINJ - 06 - P3867-PF,0,203,0,1303
SINJ-06-P3867-MPF,0,96,0,1303
SPCOM-03-P3867-MPF,0,116,0,1303
SPCOM-03-P3867-PF,0,215,0,1303
SPNCOM-04-P3867-MPF,0,73,0,1303
SPNCOM-04-P3867-PF,0,158,0,1303
SER - 144 - 3623Y4CO,0,864,0,1365
Service-EIMPLANTE-PF,0,1,0,1365
SFM-02-P3867-MPF,0,78,0,1365
SIMP - 01 - P3867-PF,0,7,0,1365
SINJ - 06 - P3867-PF,0,9,0,1365
SPCOM-03-P3867-PF,0,121,0,1365
SPNCOM-04-P3867-PF,0,10,0,1365
SSP-07-P3867-PF,0,26,0,1365
SER - 144 - 3623Y4CO,0,2016,0,7583
SFM-02-P3867-MPF,0,38,0,7583
SIMP - 01 - P3867-PF,0,9,0,7583
SINJ - 06 - P3867-PF,0,33,0,7583
SPCOM-03-P3867-PF,0,216,0,7583
SPNCOM-04-P3867-PF,0,137,0,7583
SSP-07-P3867-PF,0,48,0,7583
